	mock1_1	mock2_1	salt_1h_1	salt_2h_1	heat_1h_1	heat_2h_1	mock1_2	mock2_2	salt_1h_2	salt_2h_2	heat_1h_2	heat_2h_2
ENSG00000243485	0	0	0	0	0	0	0	0.0308	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0.0639	0.0218	0.094	0.1516	0.0465	0	0.0837	0.0176	0.1098	0.3386	0.0087	0.0361
ENSG00000237683	0.2205	0.2995	0.3256	0.2905	0.3637	0.2387	0.1684	0.1775	0.2392	0.4542	0.1753	0.0727
ENSG00000228463	0.0495	0.0492	0.2191	0.0489	0.042	0.0559	0.0189	0.0318	0.2477	0.1367	0.0629	0.0571
ENSG00000237094	0.242	0.1585	0.0651	0.1125	0.1167	0.2131	0.4784	0.1375	0.1568	0.1019	0.2128	0.352
ENSG00000235249	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236743	0	0	0	0.0572	0	0	0	0	0	0.047	0	0
ENSG00000231709	0	0	0.0996	0.0918	0.0657	0	0	0.0374	0.1163	0.5288	0.0739	0
ENSG00000239664	0	0	0	0.0605	0	0	0	0	0	0.0498	0	0
ENSG00000230021	0.0768	0.1833	0.1811	0.0911	0.0652	0.2929	0	0.0742	0.0866	0.581	0.3482	0.342
ENSG00000223659	0	0.0242	0.1394	0.1446	0	0	0	0	0.1221	0.2379	0.0388	0.0402
ENSG00000185097	0	0	0	0	0	0	0	0	0	0.032	0	0
ENSG00000235373	0.0872	0.1	0.023	0	0.0569	0.0795	0.0461	0.0972	0.0101	0.0327	0.1344	0.0663
ENSG00000240618	0.1105	0.3295	0.0947	0.131	0.1875	0.2808	0	0.2134	0.166	0	0	0.1093
ENSG00000228327	1.2621	1.1955	0.3607	0.2347	1.0918	0.8178	1.0207	1.3864	0.5577	0.5313	1.0391	0.8813
ENSG00000237491	0.6734	0.7117	0.2634	0.1681	0.802	0.5156	0.7445	0.7418	0.1864	0.0865	0.8738	0.7305
ENSG00000269831	0	0.3014	0.2166	0.2996	0.2144	0.2141	0.5789	0.4881	0	0	0.4822	0.4998
ENSG00000177757	0	0	0.0144	0	0.0142	0.0284	0	0	0	0.0164	0.032	0.0332
ENSG00000225880	0.6682	0.5461	0.3395	0.2054	0.6299	0.7549	0.964	0.5737	0.818	0.3381	0.8266	0.9792
ENSG00000230368	0.0331	0	0	0	0.0701	0.1121	0.1895	0.0479	0.0248	0.0323	0.0316	0.0654
ENSG00000272438	0.2786	0.2215	0	0.1101	0.1576	0.7081	0.2128	0.1794	0.279	0.1812	0.1772	0.4593
ENSG00000230699	0.0964	0.1405	0.0918	0.0381	0.2544	0.3448	0.319	0.1966	0.0322	0.0418	0.3066	0.392
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	0.0471	0.1124	0.0337	0.0372	0.2398	0.3525	0.1259	0.1516	0.0944	0.0536	0.1348	0.2795
ENSG00000187634	0.1627	0.2123	0.061	0.0723	0.4314	0.6807	0.1165	0.108	0.0458	0.1191	0.2717	0.5935
ENSG00000268179	0	0	0	0	0	0.2466	0	0	0.1457	0.1893	0.0926	0.096
