"GFP-1" "GFP-2" "GFP-3" "HS-GFP-1" "HS-GFP-2" "HS-GFP-3" "WT-1" "WT-2" "WT-3" "HS-WT-1" "HS-WT-2" "HS-WT-3"
"ENSG00000186827" 0 0 0 1 1 0 2 0 0 8 4 5
"ENSG00000186891" 0 0 0 0 0 0 0 0 0 7 13 7
"ENSG00000160072" 1803 2519 3040 2864 2289 3756 1991 2145 2432 2131 1584 1460
"ENSG00000260179" 6 4 5 26 17 25 2 4 7 4 3 9
"ENSG00000234396" 1 2 0 2 2 0 2 1 3 1 2 1
"ENSG00000225972" 0 1 4 2 3 1 1 2 1 2 0 2
"ENSG00000224315" 0 0 0 0 0 0 1 0 0 0 0 0
"ENSG00000198744" 0 0 3 4 0 0 0 1 0 0 0 0
"ENSG00000279928" 0 0 0 5 1 1 0 1 0 2 0 0
"ENSG00000228037" 2 2 3 0 1 1 1 2 3 7 5 3
"ENSG00000142611" 134 207 225 355 236 392 194 199 232 130 105 84
"ENSG00000225630" 44 46 68 132 80 116 38 36 56 12 11 12
"ENSG00000131584" 572 938 1107 772 612 975 949 983 1223 839 611 582
"ENSG00000227589" 0 0 0 1 1 2 2 3 1 4 2 4
"ENSG00000237402" 1 0 0 0 0 0 0 0 0 1 0 0
"ENSG00000284616" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000169972" 354 526 559 796 590 991 401 420 525 471 429 386
"ENSG00000157911" 365 536 684 466 344 604 534 515 648 488 366 293
"ENSG00000269896" 18 37 56 15 9 7 33 35 49 15 15 8
"ENSG00000237973" 1154 1481 1917 4103 2344 3200 1074 1303 1109 538 409 318
"ENSG00000224051" 394 580 720 799 560 851 493 528 673 295 248 201
"ENSG00000228463" 1 3 5 9 8 8 1 1 9 3 3 1
"ENSG00000260972" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000157933" 1309 1830 2178 2985 2134 3572 1669 1836 1976 912 736 580
"ENSG00000162591" 943 1517 1800 870 702 1153 2313 2429 2907 1569 1347 1143
"ENSG00000224340" 0 0 0 0 0 0 0 0 1 0 0 0
"ENSG00000270035" 1 0 0 0 0 1 0 2 2 2 1 0
"ENSG00000169962" 10 22 25 26 25 34 20 20 18 194 138 151
"ENSG00000226545" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000233653" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000268663" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000226374" 0 0 0 0 0 0 0 0 0 0 0 0
